,sme_ban,point_est_date,total_sales,total_points,total_order,version
323,89730022,2023-06-07 15:16:55,0,0,0,NCF Model
324,87290651,2023-06-08 12:41:12,60000,30000,1,NCF Model
325,43941191,2023-06-14 14:14:57,60000,30000,1,NCF Model
326,91285743,2023-06-08 14:23:59,23856,11928,1,NCF Model
327,54325379,2023-06-07 14:10:03,157500,30000,1,NCF Model
328,88549117,2023-06-16 13:40:01,60000,30000,1,NCF Model
329,92620365,2023-06-05 11:13:01,11700,5850,1,NCF Model
330,24584617,2023-06-03 14:37:14,23400,11700,1,NCF Model
331,89783723,2023-06-01 15:02:46,0,0,0,NCF Model
332,92620652,2023-06-08 14:20:52,37080,18540,1,NCF Model
333,87050189,2023-06-02 13:52:54,60000,30000,1,NCF Model
334,85662775,2023-06-13 10:05:48,80136,40068,2,NCF Model
335,90085508,2023-06-13 21:29:52,23400,11700,1,NCF Model
336,90554537,2023-06-07 14:09:54,22800,11400,1,NCF Model
337,94016835,2023-06-12 11:51:39,45600,22800,2,NCF Model
338,85280951,2023-06-01 14:07:33,0,0,0,NCF Model
339,24928140,2023-06-18 15:08:55,0,0,0,NCF Model
340,85036417,2023-06-18 07:47:24,0,0,0,NCF Model
341,24314831,2023-06-14 14:47:00,33120,16560,2,NCF Model
342,87224251,2023-06-01 16:53:24,60000,30000,1,NCF Model
343,45132792,2023-06-04 17:17:25,60000,30000,1,NCF Model
344,94049300,2023-06-15 14:29:55,0,0,0,NCF Model
345,93228425,2023-06-14 14:30:40,11088,5544,1,NCF Model
346,82807550,2023-06-13 19:04:34,0,0,0,NCF Model
347,39873072,2023-06-01 17:27:25,60000,30000,1,NCF Model
348,83652870,2023-06-12 20:06:13,0,0,0,NCF Model
349,92443657,2023-06-06 20:35:11,19200,9600,1,NCF Model
350,53807969,2023-06-17 17:03:33,0,0,0,NCF Model
351,90272208,2023-06-07 18:55:30,60000,30000,1,NCF Model
352,91641089,2023-06-10 13:06:02,19200,9600,1,NCF Model
353,82583778,2023-06-12 20:37:10,60000,30000,1,NCF Model
354,90225297,2023-06-09 11:46:50,60000,30000,1,NCF Model
355,82296038,2023-06-08 10:34:24,63856,30000,2,NCF Model
356,92357218,2023-06-12 21:45:30,11700,5850,1,NCF Model
357,92372891,2023-06-13 17:04:41,22800,11400,1,NCF Model
358,88713073,2023-06-07 16:16:22,60000,30000,1,NCF Model
359,94107011,2023-06-19 16:15:26,64800,30000,3,NCF Model
360,81016045,2023-06-08 22:27:09,60000,30000,1,NCF Model
361,83160946,2023-06-19 14:27:08,66800,30000,1,NCF Model
362,92244025,2023-06-15 14:08:33,60000,30000,1,NCF Model
363,82464858,2023-06-14 15:06:23,35256,17628,1,NCF Model
364,94048822,2023-06-09 16:41:03,46800,23400,2,NCF Model
365,91763759,2023-06-14 21:31:11,50856,25428,1,NCF Model
366,94129486,2023-06-05 21:59:02,22800,11400,1,NCF Model
367,53236574,2023-06-13 12:10:47,51000,25500,2,NCF Model
368,50947754,2023-06-12 10:10:07,0,0,0,NCF Model
369,23961009,2023-06-06 13:30:13,28800,14400,3,NCF Model
370,25077119,2023-06-07 13:25:21,47400,23700,1,NCF Model
371,85075678,2023-06-08 17:09:19,60000,30000,1,NCF Model
372,92372219,2023-06-06 12:03:51,23400,11700,1,NCF Model
373,69788947,2023-06-08 16:05:20,60000,30000,2,NCF Model
374,93279346,2023-06-12 09:00:21,22200,11100,1,NCF Model
375,88140955,2023-06-07 13:28:46,60000,30000,1,NCF Model
376,92207437,2023-06-01 22:51:42,35000,17500,1,NCF Model
377,10468671,2023-06-07 11:21:19,60000,30000,1,NCF Model
378,92493311,2023-06-06 16:14:55,0,0,0,NCF Model
379,54213037,2023-06-15 18:00:09,37800,18900,2,NCF Model
380,31789116,2023-06-08 17:34:28,60000,30000,2,NCF Model
381,83032680,2023-06-14 15:28:50,41256,20628,1,NCF Model
382,83160729,2023-06-13 11:28:07,60000,30000,2,NCF Model
383,88328769,2023-06-08 19:56:46,15000,7500,1,NCF Model
