encoded,original
862,28851375
863,62048623
864,25010595
865,29167801
866,45009701
867,28698719
868,81880954
869,91741159
870,85879654
871,85882341
872,91368526
873,36123364
874,42998815
875,90161060
876,90109797
877,91414423
878,42614297
879,90557056
880,42916722
881,24296622
882,25131697
883,88542445
884,90013408
885,90857069
886,48412086
887,50556003
888,42240880
889,91865720
890,91436756
891,91189474
892,91191099
893,88516093
894,88549783
895,91252004
896,91408338
897,52652827
898,80315002
899,79999225
900,72354895
901,10467440
902,91927134
903,82771173
904,53036034
905,83698123
906,42782195
907,55864325
908,66606789
909,16550661
910,27782908
911,83732298
912,24442955
913,89827264
914,92524095
915,42436842
916,26395865
917,38784256
918,91128245
919,50657754
920,41166270
921,88229000
922,89009314
923,42622894
924,48840524
925,83763685
926,43691187
927,50902010
928,27319922
929,42952655
930,69751717
931,87438394
932,24656246
933,92645204
934,82402690
935,10520135
936,28637376
937,91568215
938,85846795
939,90291438
940,90567358
941,83424341
942,70525084
943,24464280
944,90639058
945,23845332
946,50952806
947,83710689
948,56803207
949,38528881
950,91071741
951,42949569
952,54585959
953,91429973
954,88691107
955,83747412
956,90338454
957,26241927
958,90391696
959,89008928
960,91472598
961,41378416
962,28464395
963,29081261
964,90391400
965,1263509
966,22823084
967,27373024
968,54856262
969,25085130
970,13920711
971,92194284
972,83007417
973,42671938
974,13717484
975,28350962
976,27625020
977,83646651
978,24437361
979,90454262
980,42590020
981,90306538
982,12709417
983,42700666
984,66561381
985,52377441
986,90330360
987,89188415
988,83266639
989,88948971
990,91850923
991,16818746
992,90281261
993,91438733
994,85283107
995,45386471
996,88629940
997,92126287
998,90266655
999,37882820
1000,83455548
1001,90336717
1002,23800763
1003,91050653
1004,83282531
1005,91061429
1006,54043239
1007,40935884
1008,93223081
1009,18269160
1010,93350939
1011,82966395
1012,47675309
1013,90305947
1014,16580399
1015,66515752
1016,23655424
1017,54759677
1018,24972898
1019,90566512
1020,89991861
1021,70361884
1022,23537996
1023,59275861
1024,90146890
1025,22988310
1026,90348994
1027,34810710
1028,13613880
1029,88073436
1030,89001805
1031,45111781
1032,89018411
1033,91697246
1034,82905237
1035,82182942
1036,81127210
1037,91018248
1038,90623318
1039,53810697
1040,90508540
1041,50764298
1042,24952957
1043,88766471
1044,90291177
1045,91432978
1046,42234775
1047,45882128
1048,16181323
1049,91237790
1050,86017536
1051,90301787
1052,60357622
1053,77047221
1054,90347138
1055,92357759
1056,90326014
1057,85739824
1058,83588982
1059,90210956
1060,53081261
1061,89401366
1062,16448420
1063,22404414
1064,52502150
1065,45876060
1066,91517032
1067,91935768
1068,54683353
1069,80381277
1070,91257916
1071,99560882
1072,87216077
1073,90371713
1074,88296154
1075,81355488
1076,88303866
1077,97132127
1078,85053891
1079,90614015
1080,24937963
1081,78668964
1082,19248729
1083,90383865
1084,88649951
1085,24379593
1086,34964952
1087,24979816
1088,47917995
1089,28190261
1090,92158745
1091,82150224
1092,91714961
1093,38851803
1094,47790407
1095,13177711
1096,24446087
1097,28691700
1098,50785511
1099,88504006
1100,90069296
1101,90201020
1102,26304555
1103,82151201
1104,10206749
1105,50729791
1106,92218125
1107,89071702
1108,91503760
1109,90042585
1110,16709542
1111,21261212
1112,82941156
1113,28457731
1114,66597971
1115,26827300
1116,81014139
1117,72992319
1118,92119461
1119,90892495
1120,90837515
1121,72803416
1122,87239114
1123,88465756
