mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_dense_layer_sizes,param_embedding_dim,param_epochs,param_learning_rate,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
74.79636510213216,1.5049533195179026,0.7448171774546305,0.061964014546538514,32,"(64, 32)",16,20,0.01,"{'batch_size': 32, 'dense_layer_sizes': (64, 32), 'embedding_dim': 16, 'epochs': 20, 'learning_rate': 0.01}",-1324815104.0,-1148744448.0,-1291525888.0,-1255028480.0,76373051.83159146,28
122.1948504447937,14.665286132682523,0.7439879576365153,0.07584446802905287,32,"(64, 32)",16,30,0.0005,"{'batch_size': 32, 'dense_layer_sizes': (64, 32), 'embedding_dim': 16, 'epochs': 30, 'learning_rate': 0.0005}",-1006542272.0,-1217168512.0,-865805312.0,-1029838698.6666666,144386211.71505386,8
122.0883047580719,14.723103369020222,0.7468231519063314,0.06094728759647108,32,"(64, 32)",16,30,0.001,"{'batch_size': 32, 'dense_layer_sizes': (64, 32), 'embedding_dim': 16, 'epochs': 30, 'learning_rate': 0.001}",-1039620608.0,-1097738752.0,-935923456.0,-1024427605.3333334,66928658.54731145,7
110.46483373641968,0.8465578600075674,0.7079617977142334,0.006284504202806726,32,"(64, 32)",16,30,0.01,"{'batch_size': 32, 'dense_layer_sizes': (64, 32), 'embedding_dim': 16, 'epochs': 30, 'learning_rate': 0.01}",-1329027968.0,-1347968128.0,-1317582720.0,-1331526272.0,12529948.044290474,36
150.85460344950357,1.4629550131387952,0.7523691654205322,0.061959099429488594,32,"(64, 32)",16,40,0.0005,"{'batch_size': 32, 'dense_layer_sizes': (64, 32), 'embedding_dim': 16, 'epochs': 40, 'learning_rate': 0.0005}",-1194029952.0,-3081525248.0,-1169766400.0,-1815107200.0,895547573.3553604,55
183.6435205936432,27.21278341361549,0.7481231689453125,0.07059700771283597,32,"(64, 32)",16,40,0.001,"{'batch_size': 32, 'dense_layer_sizes': (64, 32), 'embedding_dim': 16, 'epochs': 40, 'learning_rate': 0.001}",-1126136320.0,-1201852544.0,-929404864.0,-1085797909.3333333,114825447.57349475,12
163.41349426905313,27.914107733296138,0.8310689926147461,0.0825206838397427,32,"(64, 32)",16,40,0.01,"{'batch_size': 32, 'dense_layer_sizes': (64, 32), 'embedding_dim': 16, 'epochs': 40, 'learning_rate': 0.01}",-1022131584.0,-1406458752.0,-1491157888.0,-1306582741.3333333,204087941.16097957,33
27.609201113382976,0.24813580981479308,0.4939565658569336,0.018405679101503536,64,"(128, 64)",8,20,0.0005,"{'batch_size': 64, 'dense_layer_sizes': (128, 64), 'embedding_dim': 8, 'epochs': 20, 'learning_rate': 0.0005}",-1095852672.0,-7216287744.0,-6497980416.0,-4936706944.0,2731679887.104894,61
27.72684645652771,1.3679980820019675,0.47689247131347656,0.019747040681225257,64,"(128, 64)",8,20,0.001,"{'batch_size': 64, 'dense_layer_sizes': (128, 64), 'embedding_dim': 8, 'epochs': 20, 'learning_rate': 0.001}",-5370038784.0,-4239406080.0,-1197792640.0,-3602412501.3333335,1761860775.0477228,58
27.60575246810913,0.26782021653706595,0.4690728982289632,0.02305743277942961,64,"(128, 64)",8,20,0.01,"{'batch_size': 64, 'dense_layer_sizes': (128, 64), 'embedding_dim': 8, 'epochs': 20, 'learning_rate': 0.01}",-1112377984.0,-1518733312.0,-1011834944.0,-1214315413.3333333,219134537.81422666,25
